#,Type,Scenario Name,Problem Summary,Prerequisites,Tool Features,Success Criteria,Min Pass,Deliverables,Chain/Category
14,🔗 CONTINUES,RetailMart Price Range by Category,"Product team preparing pricing strategy meeting. Need to know cheapest and most expensive product in EACH category (not overall). Show category name, min price with product name, max price with product name.",Assignment #2 (products table must exist),"MIN() and MAX() functions, GROUP BY with multiple aggregates, subqueries to get product names at min/max prices","10 criteria, 100 pts",75 pts,"SQL script (MIN/MAX with product names), price extremes screenshot, documentation (150 words)",Product Chain: #2→#6→#9→#14→#25→#114
15,🔗 CONTINUES,E-Shop Unique Customer Count,"Marketing calculating Customer Acquisition Cost (CAC). Need accurate count of unique customers who placed orders, NOT total order count. Customer who ordered 5 times counts as 1, not 5. Critical for CAC calculation.",Assignment #3 (orders table must exist),"COUNT(DISTINCT column) for unique counting, difference between COUNT(*) and COUNT(DISTINCT), handling duplicates in aggregation","7 criteria, 100 pts",75 pts,"SQL script (COUNT vs COUNT DISTINCT comparison), unique customer count screenshot, documentation (100 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
16,🔗 CONTINUES,RetailMart Comprehensive Category Report,"Quarterly board meeting tomorrow. CEO needs complete category analysis in single report: product count, total sales revenue, average price, minimum price, maximum price - all per category. One comprehensive query.",Assignment #2 (products table with sales data),"Multiple aggregations in one query (COUNT, SUM, AVG, MIN, MAX together), comprehensive reporting, formatting aggregate results","10 criteria, 100 pts",75 pts,"SQL script (multiple aggregates), comprehensive report screenshot, documentation (100 words)",Product Chain: #2→#6→#9→#14→#25→#114
17,🔗 CONTINUES,E-Shop Monthly Revenue Trend,"CFO presenting to board needs month-by-month revenue trend for past 12 months. Show each month with total revenue, sorted chronologically (January first, December last). Trend analysis for growth discussion.",Assignment #3 (orders table with dates spanning 12+ months),"Date aggregations, GROUP BY with MONTH() and YEAR() functions, DATE_FORMAT for display, chronological sorting of months","9 criteria, 100 pts",75 pts,"SQL script (monthly aggregation), 12-month trend screenshot, documentation (100 words on date grouping)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
18,🔗 CONTINUES,E-Shop Order Status Breakdown,"Operations Manager needs order status distribution PER customer for service quality review. Show each customer with separate counts: Pending orders, Processing orders, Shipped orders, Delivered orders, Cancelled orders - all in ONE row per customer.",Assignment #3 (orders table with status field),"Conditional aggregation with CASE WHEN, SUM(CASE WHEN status=X THEN 1 ELSE 0 END) pattern, pivot-like results, multiple status counts per row","11 criteria, 100 pts",80 pts,"SQL script (conditional aggregation), status breakdown screenshot showing all statuses as columns, documentation (150 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
19,🆕 NEW,Customer Service - Order Items List,"Customer service taking phone calls needs to quickly see all products in each order as comma-separated list. ""Order #1001 contains: Laptop, Mouse, Keyboard, Monitor"" instead of 4 separate rows. Faster phone support.",Create simple orders and order_items tables,"GROUP_CONCAT (MySQL) or STRING_AGG (PostgreSQL), string aggregation functions, GROUP BY with string concatenation, delimiter specification","8 criteria, 100 pts",75 pts,"SQL script (table creation, string aggregation queries), comma-separated lists screenshot, documentation (100 words)",STANDALONE - String aggregation technique
20,🆕 NEW,Sales Performance - Nested Aggregation,"VP Sales questioning if average monthly revenue truly representative. Calculate: (1) Average of monthly averages, (2) Overall average across all days. Compare results. Understand difference for seasonality analysis.",None - create sales table with daily data across multiple months,"Nested aggregation, subquery with aggregate, AVG(AVG(...)) concept, derived tables, understanding weighted vs unweighted averages","10 criteria, 100 pts",80 pts,"SQL script (nested aggregation comparison), results showing both averages, documentation (200 words explaining why different)",STANDALONE - Advanced aggregation concepts
21,🔗 CONTINUES,GlobalTech Employee-Department Details,"HR report needs employee names with full department information (department name, location, department manager). Currently employees table only has dept_id. Need to JOIN with departments table to get details.",Assignment #1 (employees) + create departments table,"INNER JOIN, ON clause, joining two tables, selecting columns from both tables, table aliases, basic relationship traversal","9 criteria, 100 pts",75 pts,"SQL script (departments table creation, INNER JOIN query), joined results screenshot, documentation (150 words on INNER JOIN)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
22,🔗 CONTINUES,E-Shop All Customers Including Non-Buyers,"Marketing launching ""We Miss You"" campaign to customers who NEVER ordered. Need ALL customers shown, with order info for those who ordered, NULL for those who didn't. LEFT JOIN preserves all customers even without orders.",Assignment #3 (customers and orders tables),"LEFT JOIN (LEFT OUTER JOIN), preserving all left table rows, NULL values for unmatched right rows, identifying non-matching records with IS NULL","10 criteria, 100 pts",75 pts,"SQL script (LEFT JOIN), results showing customers with NULL orders, documentation (150 words on LEFT JOIN)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
23,🔗 CONTINUES,E-Shop Complete Order Details,"Customer Service phone support needs single query showing: customer name, order date, ALL products ordered (with quantities and prices). Currently scattered across 3 tables. JOIN customers→orders→order_items for complete picture.","Assignment #3 (customers, orders, order_items tables)","Multiple table JOIN (3+ tables), chaining JOINs, FROM table1 JOIN table2 JOIN table3 syntax, complete data assembly","11 criteria, 100 pts",80 pts,"SQL script (3-table JOIN), complete order details screenshot, documentation (150 words on multi-table JOINs)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
24,🔗 CONTINUES,GlobalTech Employee-Manager Relationship,Org chart needs each employee listed with their direct manager's name. employees table has manager_id referencing another employee_id (self-referencing). Use self-JOIN to get manager names.,Assignment #1 (employees with manager_id column),"Self-JOIN, joining table to itself, table aliases (e1, e2), self-referencing foreign keys, handling NULL managers (top-level employees)","10 criteria, 100 pts",80 pts,"SQL script (self-JOIN), employee-manager pairs screenshot, documentation (200 words on self-joins)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
25,🔗 CONTINUES,RetailMart Products Never Ordered,Inventory Manager reviewing product line. Need list of products with ZERO sales ever (never appear in order_items). These are discontinuation candidates. Use LEFT JOIN + IS NULL to find products without order records.,Assignment #2 (products) + Assignment #3 (order_items) or create order_items,"LEFT JOIN to find unmatched records, IS NULL filtering, anti-join pattern, identifying orphaned records","9 criteria, 100 pts",75 pts,"SQL script (LEFT JOIN anti-join), never-ordered products screenshot, documentation (150 words on anti-join)",Product Chain: #2→#6→#9→#14→#25→#114
26,🔗 CONTINUES,E-Shop Customer Lifetime Value (LTV),Marketing needs each customer with their total lifetime spending (sum of all order totals). Identify VIP customers (top spenders) for exclusive rewards program. JOIN customers with aggregated order totals.,Assignment #3 (customers and orders tables),"JOIN with aggregation, GROUP BY on joined tables, SUM() after JOIN, calculating customer metrics","9 criteria, 100 pts",75 pts,"SQL script (JOIN with SUM), customer LTV ranking screenshot, documentation (150 words on JOIN + aggregation)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
27,🆕 NEW,University Student-Course Enrollment,University registrar needs students matched to courses where BOTH enrollment_date matches AND semester matches (Fall 2024). Single condition JOIN insufficient - need AND in ON clause for complex matching.,"None - create students, courses, enrollments tables","JOIN with multiple conditions, AND in ON clause, complex matching logic, multi-criteria relationships","10 criteria, 100 pts",75 pts,"SQL script (3 tables, multi-condition JOIN), enrollment results screenshot, documentation (150 words)",STANDALONE - Multi-condition JOIN technique
28,🆕 NEW,Warehouse Product Distribution Planning,Logistics team planning optimal distribution. Need EVERY possible product-warehouse combination (Cartesian product) to evaluate which products should stock in which warehouses. All combinations required for analysis.,"None - create products table (10 products), warehouses table (5 warehouses)","CROSS JOIN, Cartesian product, use cases for CROSS JOIN, result size calculation (rows = table1_rows × table2_rows)","8 criteria, 100 pts",75 pts,"SQL script (CROSS JOIN), all combinations screenshot (50 rows expected), documentation (150 words)",STANDALONE - CROSS JOIN demonstration
29,🆕 NEW,Product Price Tier Assignment,"Sales team needs products categorized into pricing tiers: Budget ($0-50), Mid-Range ($50-150), Premium ($150+). Create price_tiers table, use non-equi JOIN with BETWEEN to assign each product its tier.",None - create products and price_tiers tables,"Non-equi JOIN, BETWEEN in JOIN condition (ON price BETWEEN tier_min AND tier_max), range-based matching","9 criteria, 100 pts",75 pts,"SQL script (tier assignment JOIN), products with tiers screenshot, documentation (150 words)",STANDALONE - Non-equi JOIN technique
30,🔗 CONTINUES,Query Performance: JOIN vs Subquery,"Employee-department query running slow. Compare two approaches: (1) JOIN employees to departments, (2) Subquery to get dept name. Use EXPLAIN to see which faster. Understand query optimization.",Assignment #1 (employees) with departments table,"EXPLAIN or EXPLAIN ANALYZE, reading execution plans, query optimization comparison, JOIN vs subquery performance","11 criteria, 100 pts",80 pts,"SQL script (both approaches, EXPLAIN for each), execution plan screenshots, performance comparison, documentation (200 words)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
31,🔗 CONTINUES,RetailMart Product Code Parsing,"Product SKUs formatted as ""CAT-TYPE-NUMBER"" (e.g., ""ELE-LAPT-001"" = Electronics-Laptop-001). Analytics team needs each component in separate columns: category_code, product_type, sequence_number. Parse using string functions.",Assignment #2 (products with SKU column),"SUBSTRING/SUBSTR, LEFT, RIGHT, MID, string extraction, POSITION/LOCATE, CHARINDEX, parsing delimited strings","10 criteria, 100 pts",75 pts,"SQL script (parsing queries with multiple approaches), parsed components screenshot, documentation (150 words)",Product Chain: #2→#6→#9→#14→#25→#114
32,🔗 CONTINUES,GlobalTech Full Name Formatting,"HR reports need ""Last, First"" format (e.g., ""Chen, Sarah"") instead of separate first_name and last_name columns. Some employees have middle names (nullable) - handle gracefully with COALESCE or CONCAT_WS.",Assignment #1 (employees table),"CONCAT() function, CONCAT_WS() for NULL-safe concatenation, string concatenation with separator, NULL handling in concatenation","8 criteria, 100 pts",75 pts,"SQL script (name formatting), formatted names screenshot, documentation (100 words)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
33,🆕 NEW,CRM Company Name Standardization,"CRM database has inconsistent company names: ""ACME CORP"", ""Acme Corp"", ""acme corp"", ""ACME corp"". Data quality issue preventing proper matching. Standardize all to Title Case using INITCAP/PROPER. UPDATE all records.",None - create companies table with intentionally messy data,"UPPER(), LOWER(), INITCAP (PostgreSQL/Oracle) or PROPER (MySQL), case conversion, UPDATE with string functions","9 criteria, 100 pts",75 pts,"SQL script (before/after queries, UPDATE statement), standardization screenshots, documentation (150 words)",STANDALONE - Case conversion and data cleanup
34,🆕 NEW,CSV Import Cleanup - Whitespace Removal,"CSV import added leading/trailing spaces to all text fields. ""  John  Smith  "" instead of ""John Smith"". Preventing exact matches. Clean all name and address fields using TRIM functions. UPDATE all affected records.",None - create table with intentional leading/trailing spaces,"TRIM(), LTRIM(), RTRIM(), removing whitespace, UPDATE for cleanup, REPLACE() for internal multiple spaces","10 criteria, 100 pts",75 pts,"SQL script (dirty data demo, TRIM examples, UPDATE cleanup), before/after screenshots, documentation (150 words)",STANDALONE - Data cleaning techniques
35,🔗 CONTINUES,RetailMart Product Code Rebranding,"Company rebranding: all Electronics SKUs starting with ""ELE-"" must change to ""ELEC-"" (adding C). Thousands of products affected. Use REPLACE() function in UPDATE to change all SKUs in one statement. Verify before/after counts.",Assignment #2 (products table with SKUs),"REPLACE() function, pattern replacement in strings, UPDATE with REPLACE, mass updates, verification queries","9 criteria, 100 pts",75 pts,"SQL script (UPDATE with REPLACE, before/after verification), rebranded SKUs screenshot, documentation (100 words)",Product Chain: #2→#6→#9→#14→#25→#114
36,🆕 NEW,Phone Number Validation,"Contact database has phone numbers in various formats: ""1234567890"", ""(123) 456-7890"", ""123-456-7890"", ""12345"" (invalid). Data quality report needs to identify invalid phone numbers (not exactly 10 digits). Use LENGTH/LEN.",None - create contacts table with varied phone formats,"LENGTH() or LEN(), string length validation, WHERE with length conditions, data quality queries, REGEXP for advanced validation","8 criteria, 100 pts",75 pts,"SQL script (table with varied formats, length validation queries), invalid phones report screenshot, documentation (100 words)",STANDALONE - Length validation technique
37,🔗 CONTINUES,E-Shop Customer Reactivation - Days Since Last Order,Customer retention team identifies at-risk customers: those with >90 days since last order. Calculate days between each customer's most recent order and today. Filter to customers >90 days for reactivation campaign.,Assignment #3 (customers and orders tables),"DATEDIFF() or equivalent, date arithmetic, CURRENT_DATE or NOW(), calculating time intervals, MAX() to find last order","9 criteria, 100 pts",75 pts,"SQL script (days calculation, >90 day filter), at-risk customers screenshot, documentation (150 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
38,🔗 CONTINUES,GlobalTech Custom Date Formatting,"HR reports printing hire dates need ""Mon DD, YYYY"" format (e.g., ""Jan 15, 2024"") instead of ""2024-01-15"". Format using DATE_FORMAT (MySQL), TO_CHAR (PostgreSQL), or FORMAT (SQL Server) for custom display.",Assignment #1 (employees with hire_date),"DATE_FORMAT (MySQL), TO_CHAR (PostgreSQL), FORMAT (SQL Server), custom date formatting, format string specifications","8 criteria, 100 pts",75 pts,"SQL script (date formatting), formatted dates screenshot, documentation (100 words on DBMS differences)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
39,🔗 CONTINUES,E-Shop Seasonal Analysis,"Marketing planning staffing and promotions. Need to know: (1) Which quarter has most orders (Q1/Q2/Q3/Q4), (2) Which day of week has most orders (Mon-Sun). Extract quarter and weekday from order_date.",Assignment #3 (orders table with dates),"EXTRACT(QUARTER FROM date), EXTRACT(DOW FROM date) or WEEKDAY(), DAYOFWEEK(), date part extraction, grouping by date parts","10 criteria, 100 pts",75 pts,"SQL script (quarter and weekday extraction, grouping), seasonal breakdown screenshot, documentation (150 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
40,🆕 NEW,Invoice Due Date Calculation,"Accounts Receivable sending payment reminders. Invoices due 30 days after invoice_date. Calculate due_date automatically: invoice_date + 30 days. Use INTERVAL, DATE_ADD, or DATEADD depending on DBMS.",None - create invoices table,"Date arithmetic, INTERVAL '30 days' (PostgreSQL), DATE_ADD (MySQL), DATEADD (SQL Server), adding days/months to dates","9 criteria, 100 pts",75 pts,"SQL script (table creation, due date calculation), calculated due dates screenshot, documentation (150 words)",STANDALONE - Date arithmetic techniques
41,🔗 CONTINUES,GlobalTech Hire New Employee,"HR hiring new Software Engineer starting Monday. Insert complete employee record with all required fields: name, email, department, job title, salary, hire date. Let AUTO_INCREMENT generate employee_id automatically.",Assignment #1 (employees table),"INSERT INTO with VALUES, single-row insertion, AUTO_INCREMENT behavior, NOT NULL constraint validation, SELECT to verify","7 criteria, 100 pts",75 pts,"SQL script (INSERT statement, verification SELECT), new employee screenshot, documentation (100 words)",Employee Chain: #1→#4→#10→#21→#24→#51→#111
42,🔗 CONTINUES,E-Shop Archive Old Orders,Database growing too large (performance issues). Archive all orders from before 2020 into archive_orders table for compliance retention but remove from active orders table. Use INSERT INTO...SELECT for bulk copy.,Assignment #3 (orders table with old data),"INSERT INTO...SELECT, bulk copying data between tables, CREATE TABLE LIKE for structure, date-based filtering, archiving strategy","10 criteria, 100 pts",80 pts,"SQL script (archive table creation, INSERT...SELECT, optional DELETE from original), count verification screenshot, documentation (150 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
43,🔗 CONTINUES,RetailMart Electronics Price Increase,Inflation adjustment approved by CFO: increase all Electronics category prices by 10%. Other categories remain unchanged. Use UPDATE with WHERE category='Electronics' and arithmetic SET price = price * 1.1.,Assignment #2 (products table),"UPDATE statement, SET with arithmetic (multiplication), WHERE for selective updates, verification before/after, percentage increases","9 criteria, 100 pts",75 pts,"SQL script (before SELECT, UPDATE, after SELECT), price change screenshots, documentation (100 words)",Product Chain: #2→#6→#9→#14→#25→#114
44,🔗 CONTINUES,RetailMart Inventory Reduction from Sales,"When orders placed, stock_quantity must decrease. Update products.stock_quantity by subtracting quantities from order_items. Use UPDATE with JOIN to decrement inventory based on sales. Complex multi-table UPDATE.",Assignment #2 (products) + Assignment #3 (order_items),"UPDATE with JOIN, updating from multiple tables, SET with subquery or JOIN, complex UPDATE syntax (varies by DBMS), inventory management","11 criteria, 100 pts",80 pts,"SQL script (UPDATE JOIN), inventory before/after screenshots, documentation (200 words on DBMS UPDATE JOIN syntax)",Product Chain: #2→#6→#9→#14→#25→#114
45,🔗 CONTINUES,E-Shop Remove QA Test Data,"QA testing created test customer accounts (customer_id 9001-9020) with test orders. Production launch tomorrow - must delete ALL test data. DELETE test customers' orders first (due to FK), then customers. Handle CASCADE.","Assignment #3 (customers, orders, order_items with test data)","DELETE with WHERE, IN with subquery or value list, CASCADE deletion, safe deletion verification, transaction recommended","9 criteria, 100 pts",75 pts,"SQL script (DELETE statements, verification), deletion confirmation screenshots, documentation (150 words on DELETE CASCADE)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
46,🆕 NEW,Soft Delete Pattern for Audit Trail,Legal department requires maintaining audit trail of all records - cannot permanently DELETE. Implement soft delete: add deleted_at TIMESTAMP column (nullable). Set to NOW() instead of DELETE. Queries exclude WHERE deleted_at IS NULL.,"None - create sample table (e.g., documents)","Soft delete pattern, UPDATE vs DELETE, deleted_at timestamp column, excluding deleted records in queries, audit trail maintenance","11 criteria, 100 pts",80 pts,"SQL script (table with deleted_at, soft delete demos, query exclusion), screenshots showing soft-deleted records, documentation (200 words)",STANDALONE - Audit trail pattern
47,🔗 CONTINUES,RetailMart Product Catalog Upsert,"Supplier sends daily product updates CSV. If SKU exists, UPDATE price and stock. If new SKU, INSERT new product. Handle both in single statement: INSERT...ON DUPLICATE KEY UPDATE (MySQL) or ON CONFLICT (PostgreSQL).",Assignment #2 (products table),"UPSERT operations, INSERT ON DUPLICATE KEY UPDATE (MySQL), ON CONFLICT DO UPDATE (PostgreSQL), MERGE (SQL Server), handling insert/update in one statement","12 criteria, 100 pts",80 pts,"SQL script (UPSERT examples for new/existing records), upsert results screenshots, documentation (200 words on DBMS UPSERT syntax)",Product Chain: #2→#6→#9→#14→#25→#114
48,🆕 NEW,Bank Transfer Transaction Safety,"Process money transfer between accounts: deduct $500 from Account A, add $500 to Account B. BOTH must succeed together or BOTH fail (atomicity). Wrap in transaction with BEGIN/COMMIT. Test ROLLBACK on error.",None - create accounts table with balances,"BEGIN/START TRANSACTION, COMMIT, ROLLBACK, transaction basics, ACID properties (atomicity focus), error handling","10 criteria, 100 pts",80 pts,"SQL script (successful transaction, failed transaction with ROLLBACK), transaction demos screenshots, documentation (200 words on transactions)",STANDALONE - Transaction fundamentals
49,🔗 CONTINUES,E-Shop Customer Account Deletion,Customer requests account deletion (GDPR right to be forgotten). Delete customer record - orders and order_items must CASCADE delete automatically. Verify ON DELETE CASCADE works (from Assignment #3 setup).,"Assignment #3 (customers, orders, order_items with CASCADE)","ON DELETE CASCADE verification, parent-child deletion, referential integrity in action, counting records before/after","9 criteria, 100 pts",75 pts,"SQL script (count queries, DELETE customer, verify cascade), before/after counts for all 3 tables screenshot, documentation (150 words)",Order Chain: #3→#5→#11→#22→#23→#112→#113→#119
50,🆕 NEW,Bulk Product Import Performance,"Loading 100,000 new products from CSV. Compare performance: (1) Individual INSERTs in loop (slow), (2) Multi-row INSERT VALUES (...),(...),(...), (3) LOAD DATA INFILE (MySQL) or COPY (PostgreSQL). Measure time for each.",None - generate or obtain 100k row CSV,"LOAD DATA INFILE (MySQL), \copy or COPY (PostgreSQL), BULK INSERT (SQL Server), bulk operations, performance comparison, INSERT optimization","11 criteria, 100 pts",80 pts,"SQL scripts (all 3 methods), performance comparison table (time in seconds), documentation (250 words on bulk loading best practices)",STANDALONE - Bulk loading techniques
